title,rating
Close (2022),8.0
Mummies (2023),8.5
În umbra lui Shakespeare (2020),8.3
Ennio (2022),8.3
Capra cu trei iezi (2022),8.2
Dune: Part One (2021),8.0
The Lord of the Rings: The Return of the King (2003),9.0
La La Land (2016),8.0
Schindler's List (1993),9.0
Forrest Gump (1994),8.8
Top Gun: Maverick (2022),8.4
Joker (2019),8.4
The Lord of the Rings: The Fellowship of the Ring (2001),8.8
The King's Speech (2010),8.0
Gladiator (2000),8.5
The Revenant (2015),8.0
1917 (2020),8.2
Mad Max: Fury Road (2015),8.1
BTS Permission to Dance on Stage - Seoul: Live Viewing (2022),8.1
Slumdog Millionaire (2008),8.0
Saving Private Ryan (1998),8.6
Star Wars: Episode IV - A New Hope (1977),8.6
Parasite (2019),8.5
Ben-Hur (1959),8.1
12 Years a Slave (2013),8.1
Gone with the Wind (1939),8.2
Braveheart (1995),8.4
Gandhi (1982),8.1
Dances with Wolves (1990),8.0
The Grand Budapest Hotel (2014),8.1
Inception (2010),8.8
American Beauty (1999),8.4
Amadeus (1984),8.4
A Beautiful Mind (2001),8.2
Green Book (2018),8.2
Unforgiven (1992),8.2
No Country for Old Men (2007),8.2
The Sting (1973),8.3
Million Dollar Baby (2004),8.1
The Dark Knight (2008),9.0
The Godfather: Part II (1974),9.0
"Three Billboards Outside Ebbing, Missouri (2017)",8.1
The Pianist (2002),8.5
One Flew Over the Cuckoo's Nest (1975),8.7
Good Will Hunting (1997),8.3
Soul (2020),8.0
On the Waterfront (1954),8.1
The Imitation Game (2014),8.0
Lawrence of Arabia (1962),8.3
Hacksaw Ridge (2016),8.1
All About Eve (1950),8.2
There Will Be Blood (2007),8.2
The Departed (2006),8.5
L.A. Confidential (1997),8.2
La vita è bella (1997),8.6
Whiplash (2014),8.5
Inglourious Basterds (2009),8.3
The Grand Challenge: Le Mans '66 (2019),8.1
Apocalypse Now (1979),8.5
Spotlight (2015),8.1
The Bridge on the River Kwai (1957),8.2
Spider-Man: No Way Home (2021),8.2
The Apartment (1960),8.3
Pulp Fiction (1994),8.9
The Godfather (1972),9.2
The Deer Hunter (1978),8.1
The Sound of Music (1965),8.1
El laberinto del fauno (2006),8.2
Raging Bull (1980),8.2
The Martian (2015),8.0
Django Unchained (2012),8.4
The Silence of the Lambs (1991),8.6
The Lord of the Rings: The Two Towers (2002),8.8
The Shawshank Redemption (1994),9.3
Who's Afraid of Virginia Woolf? (1966),8.0
Lion (2016),8.0
The Best Years of Our Lives (1946),8.1
Interstellar (2014),8.6
Blade Runner 2049 (2017),8.0
Indiana Jones and the Raiders of the Lost Ark (1981),8.4
Goodfellas (1990),8.7
The Matrix (1999),8.7
Rocky (1976),8.1
Rain Man (1988),8.0
Toy Story 3 (2010),8.3
Up (2009),8.3
Network (1976),8.1
Coco (2017),8.4
Sunset Blvd. (1950),8.4
The Wolf of Wall Street (2013),8.2
Black Swan (2010),8.0
WALL·E (2008),8.4
Chinatown (1974),8.2
Her (2013),8.0
The Exorcist (1973),8.1
Judgment at Nuremberg (1961),8.3
30 de ani și 15 minute (2020),8.5
In the Name of the Father (1993),8.1
Rebecca (1940),8.1
colectiv (2019),8.1
The Sixth Sense (1999),8.2
Spider-Man: Into the Spider-Verse (2018),8.4
Exhibition on Screen: Raphael Revealed (2020),8.0
To Kill a Mockingbird (1962),8.3
Platoon (1986),8.1
Portrait de la jeune fille en feu (2020),8.1
Casablanca (1942),8.5
Ratatouille (2007),8.1
Capharnaüm (2018),8.4
Barry Lyndon (1975),8.1
It Happened One Night (1934),8.1
The Bourne Ultimatum (2007),8.0
Fiddler on the Roof (1971),8.0
Avengers: Endgame (2019),8.4
Butch Cassidy and the Sundance Kid (1969),8.0
Blood Diamond (2006),8.0
Bring The Soul: The Movie (2019),8.3
Roman Holiday (1953),8.0
Inside Out (2015),8.2
Finding Nemo (2003),8.2
The Green Mile (1999),8.6
The Incredibles (2004),8.0
Le fabuleux destin d'Amélie Poulain (2001),8.3
Mr Smith Goes to Washington (1939),8.1
JFK (1991),8.0
Cidade de Deus (2002),8.6
Avengers: Infinity War (2018),8.4
Terminator 2: Judgment Day (1991),8.6
The Help (2011),8.1
Fanny och Alexander (1982),8.1
High Noon (1952),8.0
The Usual Suspects (1995),8.5
The Heiress (1949),8.1
Annie Hall (1977),8.0
Le scaphandre et le papillon (2007),8.0
